subdistrict_name,subdistrict_english_name,subdistrict_area,subdistrict_population_2566,subdistrict_density_2566,district_name,district_english_name
ถนนเพชรบุรี,Thanon Phetchaburi,1.148,,,ราชเทวี,Ratchathewi
บางพลัด,Bang Phlat,3.296,,,บางพลัด,Bang Phlat
ทุ่งมหาเมฆ,Thung Maha Mek,,,,สาทร,Sathon
คลองเตยเหนือ,Khlong Toei Nuea,,,,วัฒนา,Vadhana
พระโขนง,Phra Khanong,,,,คลองเตย,Khlong Toei
พลับพลา,Phlapphla,7.708,,,วังทองหลาง,Wang Thonglang
คลองเจ้าคุณสิงห์,Khlong Chaokhun Sing,4.065,,,วังทองหลาง,Wang Thonglang
บางด้วน,Bang Duan,2.514,"27,047",,ภาษีเจริญ,Phasi Charoen
ศิริราช,Siri Rat,1.258,"12,162",,บางกอกน้อย,Bangkok Noi
มหาพฤฒาราม,Maha Phruettharam,0.889,"9,865",,บางรัก,Bang Rak
ทุ่งวัดดอน,Thung Wat Don,,,,สาทร,Sathon
สามเสนนอก,Sam Sen Nok,,,,ห้วยขวาง,Huai Khwang
บางแวก,Bang Waek,3.022,"18,135",,ภาษีเจริญ,Phasi Charoen
คูหาสวรรค์,Khuha Sawan,0.909,"5,763",,ภาษีเจริญ,Phasi Charoen
บางขุนศรี,Bang Khun Si,4.36,"30,149",,บางกอกน้อย,Bangkok Noi
บ้านช่างหล่อ,Ban Chang Lo,2.076,"26,830",,บางกอกน้อย,Bangkok Noi
พระโขนงเหนือ,Phra Khanong Nuea,,,,วัฒนา,Vadhana
ลุมพินี,Lumphini,3.485,,,ปทุมวัน,Pathum Wan
อรุณอมรินทร์,Arun Ammarin,2.758,"18,547",,บางกอกน้อย,Bangkok Noi
ถนนนครไชยศรี,Thanon Nakhon Chai Si,5.282,"44,541",,ดุสิต,Dusit
ปทุมวัน,Pathum Wan,2.181,,,ปทุมวัน,Pathum Wan
คลองตัน,Khlong Tan,,,,คลองเตย,Khlong Toei
บางคอแหลม,Bang Kho Laem,,,,บางคอแหลม,Bang Kho Laem
สะพานสอง,Saphan Song,1.934,,,วังทองหลาง,Wang Thonglang
ป้อมปราบ,Pom Prap,0.535,"12,308",,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai
ปากคลองภาษีเจริญ,Pak Khlong Phasi Charoen,1.898,"14,332",,ภาษีเจริญ,Phasi Charoen
บางขุนเทียน,Bang Khun Thian,5.789,,,จอมทอง,Chom Thong
วัดเทพศิรินทร์,Wat Thep Sirin,0.347,"5,721",,ป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai
มักกะสัน,Makkasan,2.283,,,ราชเทวี,Ratchathewi
